架次编号,服务区编号,机型编号,货箱编号列表,总质量kg,总体积m3,往返时间s,架次能耗kWh,返航SOCpct
P1-S001-01,S001,C,S001-WAT-02;S001-WAT-05;S001-WAT-07;S001-WAT-08;S001-FOD-02;S001-HYG-01;S001-HYG-02,76.0,0.206,1558.0,2.9247,63.44
P1-S001-02,S001,C,S001-MED-01;S001-MED-02;S001-WAT-01;S001-WAT-03;S001-WAT-04;S001-WAT-06;S001-FOD-01;S001-FOD-03,78.0,0.188,1624.0,3.0031,62.46
P1-S002-01,S002,B,S002-MED-01;S002-WAT-01;S002-FOD-02,25.0,0.067,1819.3,2.7217,31.96
P1-S002-02,S002,C,S002-WAT-02;S002-WAT-03;S002-WAT-04;S002-FOD-01;S002-HYG-01,56.0,0.144,2044.3,5.7392,28.26
P1-S003-01,S003,B,S003-MED-01;S003-WAT-01;S003-FOD-02,25.0,0.067,2067.9,2.7744,30.64
P1-S003-02,S003,C,S003-WAT-02;S003-WAT-03;S003-WAT-04;S003-FOD-01;S003-HYG-01,56.0,0.144,2354.6,5.7575,28.03
P1-S004-01,S004,C,S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03;S004-FOD-01;S004-HYG-01,59.0,0.156,2305.7,6.1771,22.79
P1-S005-01,S005,C,S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03;S005-FOD-01;S005-HYG-01,59.0,0.156,1874.4,4.2364,47.05
P1-S006-01,S006,C,S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03;S006-FOD-01;S006-HYG-01,59.0,0.156,1559.5,2.5934,67.58
P1-S007-01,S007,C,S007-MED-01;S007-WAT-01;S007-WAT-02;S007-FOD-01;S007-HYG-01,45.0,0.129,1887.4,3.4027,57.47
P1-S008-01,S008,C,S008-MED-01;S008-WAT-01;S008-WAT-02;S008-FOD-01;S008-HYG-01,45.0,0.129,2193.5,5.8535,26.83
P1-S009-01,S009,B,S009-MED-01;S009-WAT-01;S009-FOD-01,25.0,0.067,1560.1,2.1022,47.44
P1-S010-01,S010,B,S010-MED-01;S010-WAT-01;S010-FOD-01,25.0,0.067,1551.7,1.8199,54.5
P1-S011-01,S011,B,S011-MED-01;S011-WAT-01;S011-FOD-01,25.0,0.067,1186.2,1.0758,73.11
P1-S012-01,S012,B,S012-MED-01;S012-WAT-01;S012-FOD-01,25.0,0.067,1923.8,2.7554,31.12
P1-S013-01,S013,B,S013-MED-01;S013-WAT-01;S013-FOD-01,25.0,0.067,1504.6,1.8223,54.44
P1-S014-01,S014,B,S014-MED-01;S014-WAT-01;S014-FOD-01,25.0,0.067,1859.9,2.1337,46.66
P1-S015-01,S015,B,S015-MED-01;S015-WAT-01;S015-FOD-01,25.0,0.067,1824.7,2.309,42.27
