架次编号,无人机编号,机型编号,电池编号,开始时刻s,访问服务区顺序,返回O01时刻s,架次能耗kWh
P2-001,U05,B,BB01,0.0,O01->S010->O01,1551.7,1.8199
P2-002,U07,C,BC01,0.0,O01->S001->O01,1492.0,2.6449
P2-003,U08,C,BC02,0.0,O01->S001->S002->O01,2367.3,5.786
P2-004,U05,B,BB03,5336.2,O01->S006->O01,6541.6,1.2911
P2-005,U08,C,BC04,7552.4,O01->S007->S003->S006->O01,10524.6,5.8908
P2-006,U05,B,BB02,3475.5,O01->S015->O01,5300.2,2.309
P2-007,U07,C,BC01,4053.4,O01->S001->S005->S004->O01,6932.0,6.3517
P2-008,U06,B,BB02,0.0,O01->S007->O01,1619.8,1.7733
P2-009,U07,C,BC03,6932.0,O01->S005->S009->O01,9348.4,5.4894
P2-010,U07,C,BC03,1492.0,O01->S013->S014->O01,4053.4,5.0106
P2-011,U08,C,BC04,2367.3,O01->S001->S002->O01,4866.6,5.8906
P2-012,U06,B,BB01,3007.0,O01->S007->S003->O01,5168.3,2.7464
P2-013,U05,B,BB03,1551.7,O01->S012->O01,3475.5,2.7554
P2-014,U06,B,BB04,1619.8,O01->S006->O01,2885.3,1.222
P2-015,U06,B,BB04,5168.3,O01->S003->O01,7236.2,2.7744
P2-016,U07,C,BC01,9485.6,O01->S001->S004->O01,12008.9,5.448
P2-017,U08,C,BC02,4866.6,O01->S011->S008->O01,7552.4,6.3731
