货箱编号,架次编号,服务区编号,交付完成时刻s
S001-FOD-02,P2-003,S001,1037.2
S001-WAT-02,P2-003,S001,1037.2
S010-FOD-01,P2-001,S010,1083.4
S010-MED-01,P2-001,S010,1083.4
S010-WAT-01,P2-001,S010,1083.4
S007-FOD-01,P2-008,S007,1117.5
S007-WAT-01,P2-008,S007,1117.5
S007-MED-01,P2-008,S007,1117.5
S001-WAT-08,P2-002,S001,1181.2
S001-WAT-03,P2-002,S001,1181.2
S001-WAT-04,P2-002,S001,1181.2
S001-FOD-03,P2-002,S001,1181.2
S001-MED-01,P2-002,S001,1181.2
S001-WAT-06,P2-002,S001,1181.2
S002-WAT-02,P2-003,S002,1745.6
S002-MED-01,P2-003,S002,1745.6
S002-WAT-01,P2-003,S002,1745.6
S002-WAT-04,P2-003,S002,1745.6
S006-WAT-01,P2-014,S006,2561.3
S006-FOD-01,P2-014,S006,2561.3
S006-MED-01,P2-014,S006,2561.3
S013-FOD-01,P2-010,S013,2712.0
S013-WAT-01,P2-010,S013,2712.0
S013-MED-01,P2-010,S013,2712.0
S012-FOD-01,P2-013,S012,2823.5
S012-MED-01,P2-013,S012,2823.5
S012-WAT-01,P2-013,S012,2823.5
S014-MED-01,P2-010,S014,3369.5
S014-WAT-01,P2-010,S014,3369.5
S014-FOD-01,P2-010,S014,3369.5
S001-FOD-01,P2-011,S001,3536.4
S001-WAT-01,P2-011,S001,3536.4
S001-WAT-07,P2-011,S001,3536.4
S001-MED-02,P2-011,S001,3536.4
S007-WAT-02,P2-012,S007,4034.5
S002-FOD-02,P2-011,S002,4244.8
S002-HYG-01,P2-011,S002,4244.8
S002-WAT-03,P2-011,S002,4244.8
S002-FOD-01,P2-011,S002,4244.8
S003-WAT-01,P2-012,S003,4442.4
S015-WAT-01,P2-006,S015,4691.3
S015-MED-01,P2-006,S015,4691.3
S015-FOD-01,P2-006,S015,4691.3
S001-WAT-05,P2-007,S001,5054.5
S005-WAT-03,P2-007,S005,5614.4
S005-HYG-01,P2-007,S005,5614.4
S011-FOD-01,P2-017,S011,5989.0
S011-MED-01,P2-017,S011,5989.0
S011-WAT-01,P2-017,S011,5989.0
S004-WAT-01,P2-007,S004,6212.1
S004-WAT-03,P2-007,S004,6212.1
S004-MED-01,P2-007,S004,6212.1
S006-WAT-03,P2-004,S006,6217.7
S006-WAT-02,P2-004,S006,6217.7
S003-MED-01,P2-015,S003,6510.2
S003-FOD-02,P2-015,S003,6510.2
S003-WAT-03,P2-015,S003,6510.2
S008-MED-01,P2-017,S008,6853.5
S008-HYG-01,P2-017,S008,6853.5
S008-WAT-01,P2-017,S008,6853.5
S008-WAT-02,P2-017,S008,6853.5
S008-FOD-01,P2-017,S008,6853.5
S005-FOD-01,P2-009,S005,8261.8
S005-WAT-02,P2-009,S005,8261.8
S005-WAT-01,P2-009,S005,8261.8
S005-MED-01,P2-009,S005,8261.8
S007-HYG-01,P2-005,S007,8776.0
S009-WAT-01,P2-009,S009,8859.2
S009-MED-01,P2-009,S009,8859.2
S009-FOD-01,P2-009,S009,8859.2
S003-FOD-01,P2-005,S003,9338.3
S003-WAT-02,P2-005,S003,9338.3
S003-HYG-01,P2-005,S003,9338.3
S003-WAT-04,P2-005,S003,9338.3
S006-HYG-01,P2-005,S006,10173.4
S001-HYG-02,P2-016,S001,10492.8
S001-HYG-01,P2-016,S001,10492.8
S004-WAT-02,P2-016,S004,11289.0
S004-HYG-01,P2-016,S004,11289.0
S004-FOD-01,P2-016,S004,11289.0
