运输架次编号,通信阶段,开始时刻s,结束时刻s,保障方式,中继架次编号
P2-001,飞行/投送,0.0,757.0,G01直连,
P2-001,飞行/投送,757.0,1165.7,中继,R-002
P2-001,飞行/投送,1165.7,1551.7,G01直连,
P2-002,全程,0.0,1492.0,G01直连,
P2-003,飞行/投送,0.0,1146.3,G01直连,
P2-003,飞行/投送,1146.3,2011.2,中继,R-001
P2-003,飞行/投送,2011.2,2367.3,G01直连,
P2-004,全程,5336.2,6541.6,G01直连,
P2-005,飞行/投送,7552.4,8446.6,G01直连,
P2-005,飞行/投送,8446.6,9670.7,中继,R-004
P2-005,飞行/投送,9670.7,10524.6,G01直连,
P2-006,飞行/投送,3475.5,4277.4,G01直连,
P2-006,飞行/投送,4277.4,4857.6,中继,R-001
P2-006,飞行/投送,4857.6,5300.2,G01直连,
P2-007,飞行/投送,4053.4,5196.8,G01直连,
P2-007,飞行/投送,5196.8,5674.4,中继,R-001
P2-007,飞行/投送,5674.4,5686.9,G01直连,
P2-007,飞行/投送,5686.9,6395.2,中继,R-003
P2-007,飞行/投送,6395.2,6932.0,G01直连,
P2-008,飞行/投送,0.0,779.4,G01直连,
P2-008,飞行/投送,779.4,1203.3,中继,R-001
P2-008,飞行/投送,1203.3,1619.8,G01直连,
P2-009,飞行/投送,6932.0,7820.2,G01直连,
P2-009,飞行/投送,7820.2,8321.8,中继,R-003
P2-009,飞行/投送,8321.8,8333.7,G01直连,
P2-009,飞行/投送,8333.7,8999.3,中继,R-004
P2-009,飞行/投送,8999.3,9348.4,G01直连,
P2-010,飞行/投送,1492.0,2344.0,G01直连,
P2-010,飞行/投送,2344.0,3558.5,中继,R-002
P2-010,飞行/投送,3558.5,4053.4,G01直连,
P2-011,飞行/投送,2367.3,3645.5,G01直连,
P2-011,飞行/投送,3645.5,4510.4,中继,R-001
P2-011,飞行/投送,4510.4,4866.6,G01直连,
P2-012,飞行/投送,3007.0,3756.3,G01直连,
P2-012,飞行/投送,3756.3,4734.0,中继,R-001
P2-012,飞行/投送,4734.0,5168.3,G01直连,
P2-013,飞行/投送,1551.7,2301.9,G01直连,
P2-013,飞行/投送,2301.9,3098.0,中继,R-002
P2-013,飞行/投送,3098.0,3475.5,G01直连,
P2-014,全程,1619.8,2885.3,G01直连,
P2-015,飞行/投送,5168.3,5965.2,G01直连,
P2-015,飞行/投送,5965.2,6801.9,中继,R-001
P2-015,飞行/投送,6801.9,7236.2,G01直连,
P2-016,飞行/投送,9485.6,10751.9,G01直连,
P2-016,飞行/投送,10751.9,11472.1,中继,R-003
P2-016,飞行/投送,11472.1,12008.9,G01直连,
P2-017,飞行/投送,4866.6,6287.8,G01直连,
P2-017,飞行/投送,6287.8,7137.0,中继,R-001
P2-017,飞行/投送,7137.0,7552.4,G01直连,
