K,方案,任务组编号,服务区列表,A型运输无人机数,B型运输无人机数,C型运输无人机数,A型电池组数,B型电池组数,C型电池组数,中继无人机数,中继能源组件数
2,资源最小,G1,S001;S002;S003;S004;S005;S006;S007;S009;S010;S012;S013;S014;S015,0,2,2,0,4,4,2,3
2,资源最小,G2,S008;S011,0,0,1,0,0,1,1,1
2,均衡最优,G1,S001;S002;S004;S005;S009;S013;S014,0,0,2,0,0,4,2,3
2,均衡最优,G2,S003;S006;S007;S008;S010;S011;S012;S015,0,2,1,0,4,2,2,2
3,资源最小,G1,S001;S002;S003;S004;S005;S006;S007;S009;S010;S012;S015,0,2,2,0,4,3,2,3
3,资源最小,G2,S008;S011,0,0,1,0,0,1,1,1
3,资源最小,G3,S013;S014,0,0,1,0,0,1,1,1
3,均衡最优,G1,S001;S002;S004;S005;S009,0,0,2,0,0,3,2,3
3,均衡最优,G2,S003;S006;S007;S010,0,2,1,0,3,1,2,2
3,均衡最优,G3,S008;S011;S012;S013;S014;S015,0,1,1,0,2,2,2,2
